Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.829            1           1         374       1512 main 
 45.2        0.683        0.683         374           0          2 std::ceil(float) 
  3.0        0.042        0.045           1           1         45 global constructors keyed to num_primes 
  0.2        0.003        0.003           1           0          3 __static_initialization_and_destruction_0(int, int) 

NODE 0;CONTEXT 0;THREAD 1:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        0.397           92           1          11      92434 initialize(void*) 
 50.6           18           46           5         120       9353 int loop_speculator::write_data<bool>(bool*&, bool*) 
 41.0           36           37           5          20       7572 loop_speculator::get_shared_data() 
 12.5            5           11          15          45        773 _data_access_log::_data_access_log(_data_access_log const&) 
  8.7        0.069            8           5           5       1602 std::pair<void*, _data_access_log>::pair(void* const&, _data_access_log const&) 
  8.0            7            7           1           9       7415 loop_speculator::commit() 
  4.5        0.159            4          10          20        420 std::vector<int, std::allocator<int> >::push_back(int const&) 
  4.2        0.569            3          10         140        393 std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) 
  3.7        0.065            3           5           5        692 std::map<void*, _data_access_log, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::insert(std::pair<void* const, _data_access_log> const&) 
  3.7         0.37            3           5          98        679 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_insert_unique(std::pair<void* const, _data_access_log> const&) 
  3.4        0.075            3          10          20        317 std::vector<void*, std::allocator<void*> >::push_back(void* const&) 
  3.3        0.361            3          10         140        302 std::vector<void*, std::allocator<void*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >, void* const&) 
  2.9        0.121            2           5          27        528 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<void* const, _data_access_log> const&) 
  2.6        0.138            2          17          17        144 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::find(unsigned long const&) 
