Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1        1,354           1         130    1354279 main 
 76.0        1,027        1,028           2         542     514498 loop_speculator::get_results() 
 18.2          135          246         106        2438       2321 loop_speculator::append(void* (*)(void*), void*) 
  3.9            1           53         108         432        493 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::resize(unsigned int, _loop_spec_thread) 
  3.8         0.52           50         108         108        471 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::insert(__gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > >, unsigned int, _loop_spec_thread const&) 
  3.7            3           50         108        1220        467 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_fill_insert(__gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > >, unsigned int, _loop_spec_thread const&) 
  2.9            1           39           2          56      19582 loop_speculator::speculate(void*&, std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >, std::vector<void*, std::allocator<void*> >) 
  2.3        0.592           31           2          55      15828 loop_speculator::_cancel_spec_threads_and_reset_logs(std::vector<int, std::allocator<int> >) 
  2.3            2           31         345         690         91 _loop_spec_thread::~_loop_spec_thread() 
  2.3        0.489           31         108         108        290 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::insert(std::pair<unsigned long const, int> const&) 
  2.3           30           31           2           8      15610 loop_speculator::commit() 
  2.3            8           30         108        3972        286 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_insert_unique(std::pair<unsigned long const, int> const&) 
  2.2            2           29         690         690         43 std::set<void*, std::less<void*>, std::allocator<void*> >::~set() 
  2.0            5           26         690        2070         39 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::~_Rb_tree() 
  1.7            1           22         335         670         67 _loop_spec_thread::_loop_spec_thread(_loop_spec_thread const&) 
  1.5        0.093           20           9           9       2325 void std::_Destroy<_loop_spec_thread*, _loop_spec_thread>(_loop_spec_thread*, _loop_spec_thread*, std::allocator<_loop_spec_thread>&) 
  1.5        0.082           20           9           9       2314 void std::_Destroy<_loop_spec_thread*>(_loop_spec_thread*, _loop_spec_thread*) 
  1.5        0.332           20           9         137       2305 void std::_Destroy_aux<false>::__destroy<_loop_spec_thread*>(_loop_spec_thread*, _loop_spec_thread*) 
  1.5        0.528           20         137         137        149 void std::_Destroy<_loop_spec_thread>(_loop_spec_thread*) 
  1.5            2           20         670         670         30 std::set<void*, std::less<void*>, std::allocator<void*> >::set(std::set<void*, std::less<void*>, std::allocator<void*> > const&) 
  1.3            1           17         235         470         76 void std::_Construct<_loop_spec_thread, _loop_spec_thread>(_loop_spec_thread*, _loop_spec_thread const&) 
  1.3            5           17         670        2080         27 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_Rb_tree(std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> > const&) 
  1.2        0.056           16           1           1      16890 std::map<void*, _data_access_log, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::clear() 
  1.2        0.234           16           1           7      16834 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::clear() 
  1.2         0.98           16         101         400        164 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_erase(std::_Rb_tree_node<std::pair<void* const, _data_access_log> >*) 
  1.1            1           15         100         400        152 std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<void* const, _data_access_log> >*) 
  1.0            2           13         797         428         17 std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_erase(std::_Rb_tree_node<void*>*) 
