Reading Profile files in profile.*

NODE 0;CONTEXT 0;THREAD 0:
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            1        2,468           1         130    2468640 main 
 81.1        2,002        2,003           2         542    1001595 loop_speculator::get_results() 
 17.2          308          425         106        2438       4014 loop_speculator::append(void* (*)(void*), void*) 
  2.2            1           54         108         432        504 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::resize(unsigned int, _loop_spec_thread) 
  2.1         0.51           52         108         108        483 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::insert(__gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > >, unsigned int, _loop_spec_thread const&) 
  2.1            3           51         108        1220        478 std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_fill_insert(__gnu_cxx::__normal_iterator<_loop_spec_thread*, std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> > >, unsigned int, _loop_spec_thread const&) 
  1.4        0.518           34         108         108        319 std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::insert(std::pair<unsigned long const, int> const&) 
  1.4            8           33         108        3948        314 std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_insert_unique(std::pair<unsigned long const, int> const&) 
  1.3        0.935           31           2          56      15906 loop_speculator::speculate(void*&, std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >, std::vector<void*, std::allocator<void*> >) 
  1.0            2           25         345         690         73 _loop_spec_thread::~_loop_spec_thread() 
  1.0        0.626           24           2          55      12381 loop_speculator::_cancel_spec_threads_and_reset_logs(std::vector<int, std::allocator<int> >) 
  0.9            2           23         690         690         34 std::set<void*, std::less<void*>, std::allocator<void*> >::~set() 
  0.9            2           22         335         670         69 _loop_spec_thread::_loop_spec_thread(_loop_spec_thread const&) 
  0.8            2           20         670         670         31 std::set<void*, std::less<void*>, std::allocator<void*> >::set(std::set<void*, std::less<void*>, std::allocator<void*> > const&) 
