Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
100.00      0.01     0.01     2910     3.44     3.44  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_begin()
  0.00      0.01     0.00    20436     0.00     0.00  std::_Select1st<std::pair<unsigned long const, int> >::operator()(std::pair<unsigned long const, int> const&) const
  0.00      0.01     0.00    18581     0.00     0.00  std::less<unsigned long>::operator()(unsigned long const&, unsigned long const&) const
  0.00      0.01     0.00    15911     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_key(std::_Rb_tree_node<std::pair<unsigned long const, int> > const*)
  0.00      0.01     0.00    15891     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_value(std::_Rb_tree_node<std::pair<unsigned long const, int> > const*)
  0.00      0.01     0.00    13973     0.00     0.00  std::less<void*>::operator()(void* const&, void* const&) const
  0.00      0.01     0.00    12618     0.00     0.00  std::_Select1st<std::pair<void* const, _data_access_log> >::operator()(std::pair<void* const, _data_access_log> const&) const
  0.00      0.01     0.00    10038     0.00     0.00  std::_Iter_base<void**, false>::_S_base(void**)
  0.00      0.01     0.00    10034     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00      0.01     0.00     8693     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_key(std::_Rb_tree_node<std::pair<void* const, _data_access_log> > const*)
  0.00      0.01     0.00     8676     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_value(std::_Rb_tree_node<std::pair<void* const, _data_access_log> > const*)
  0.00      0.01     0.00     8488     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.01     0.00     8059     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, int> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<unsigned long const, int> >*)
  0.00      0.01     0.00     7811     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.01     0.00     7274     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.01     0.00     7262     0.00     0.00  std::_Identity<void*>::operator()(void* const&) const
  0.00      0.01     0.00     6432     0.00     0.00  std::_Niter_base<void**>::iterator_type std::__niter_base<void**>(void**)
  0.00      0.01     0.00     6413     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.01     0.00     5852     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.01     0.00     5613     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.01     0.00     5243     0.00     0.00  std::vector<_loop_spec_thread, std::allocator<_loop_spec_thread> >::operator[](unsigned int)
  0.00      0.01     0.00     5052     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_get_Tp_allocator()
  0.00      0.01     0.00     4717     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::end()
  0.00      0.01     0.00     4621     0.00     0.00  std::vector<void*, std::allocator<void*> >::size() const
  0.00      0.01     0.00     4274     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.01     0.00     4074     0.00     0.00  std::_Rb_tree_iterator<std::pair<void* const, _data_access_log> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<void* const, _data_access_log> >*)
  0.00      0.01     0.00     3752     0.00     0.00  std::_Rb_tree<void*, std::pair<void* const, _data_access_log>, std::_Select1st<std::pair<void* const, _data_access_log> >, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.01     0.00     3712     0.00     0.00  __gnu_cxx::new_allocator<void*>::max_size() const
  0.00      0.01     0.00     3684     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.01     0.00     3624     0.00     0.00  __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::base() const
  0.00      0.01     0.00     3624     0.00     0.00  std::_Miter_base<void**>::iterator_type std::__miter_base<void**>(void**)
  0.00      0.01     0.00     3619     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00     3618     0.00     0.00  std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*)
  0.00      0.01     0.00     3606     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00     3586     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.01     0.00     3536     0.00     0.00  __gnu_cxx::new_allocator<void*>::~new_allocator()
  0.00      0.01     0.00     3531     0.00     0.00  std::allocator<void*>::~allocator()
  0.00      0.01     0.00     3517     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_M_get_Node_allocator() const
  0.00      0.01     0.00     3470     0.00     0.00  std::_Rb_tree<void*, void*, std::_Identity<void*>, std::less<void*>, std::allocator<void*> >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.01     0.00     3461     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      0.01     0.00     3122     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, int>, std::_Select1st<std::pair<unsigned long const, int> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::_M_end()
  0.00      0.01     0.00     3106     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, int> >::operator==(std::_Rb_tree_iterator<std::pair<unsigned long const, int> > const&) const
  0.00      0.01     0.00     3069     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      0.01     0.00     3067     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.01     0.00     3062     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.01     0.00     3061     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.01     0.00     2803     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.01     0.00     2801     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00     2792     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
