Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      374     0.00     0.00  std::ceil(float)
  0.00      0.00     0.00       10     0.00     0.00  std::_Iter_base<void* (**)(void*), false>::_S_base(void* (**)(void*))
  0.00      0.00     0.00       10     0.00     0.00  std::_Iter_base<void**, false>::_S_base(void**)
  0.00      0.00     0.00        6     0.00     0.00  std::_Niter_base<void* (**)(void*)>::iterator_type std::__niter_base<void* (**)(void*)>(void* (**)(void*))
  0.00      0.00     0.00        6     0.00     0.00  std::_Niter_base<void**>::iterator_type std::__niter_base<void**>(void**)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >::base() const
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::base() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::size() const
  0.00      0.00     0.00        4     0.00     0.00  std::vector<void*, std::allocator<void*> >::size() const
  0.00      0.00     0.00        4     0.00     0.00  std::_Miter_base<void* (**)(void*)>::iterator_type std::__miter_base<void* (**)(void*)>(void* (**)(void*))
  0.00      0.00     0.00        4     0.00     0.00  std::_Miter_base<void**>::iterator_type std::__miter_base<void**>(void**)
  0.00      0.00     0.00        4     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<void* (*)(void*)>::max_size() const
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<void*>::max_size() const
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<void* (**)(void*)>(void* (**)(void*), void* (**)(void*))
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<void**>(void**, void**)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<void* (**)(void*)>(void* (**)(void*), void* (**)(void*))
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<void* (**)(void*), void* (*)(void*)>(void* (**)(void*), void* (**)(void*), std::allocator<void* (*)(void*)>&)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<void**>(void**, void**)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<void**, void*>(void**, void**, std::allocator<void*>&)
  0.00      0.00     0.00        2     0.00     0.00  loop_speculator::loop_speculator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<_loop_spec_thread>::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<_loop_spec_thread>::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<void* (*)(void*)>::construct(void* (**)(void*), void* (* const&)(void*))
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<void*>::construct(void**, void* const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<void* const, _data_access_log> > >::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<void* const, _data_access_log> > >::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long const, int> > >::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<unsigned long const, int> > >::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<void* (**)(void*), std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> > >::__normal_iterator(void* (** const&)(void*))
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<void**, std::vector<void*, std::allocator<void*> > >::__normal_iterator(void** const&)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<void* (*)(void*), std::allocator<void* (*)(void*)> >::max_size() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<void*, std::allocator<void*> >::max_size() const
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<_loop_spec_thread>::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<_loop_spec_thread>::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<void* const, _data_access_log> > >::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<void* const, _data_access_log> > >::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<unsigned long const, int> > >::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<unsigned long const, int> > >::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<void* (*)(void*)>(void* (* const*)(void*), void* (* const*)(void*), void* (**)(void*)))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<void*>(void* const*, void* const*, void**)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<_loop_spec_thread*>(_loop_spec_thread*, _loop_spec_thread*)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_deallocate(_loop_spec_thread*, unsigned int)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<_loop_spec_thread, std::allocator<_loop_spec_thread> >::~_Vector_base()
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<void* (*)(void*), std::allocator<void* (*)(void*)> >::_M_deallocate(void* (**)(void*), unsigned int)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<void*, std::allocator<void*> >::_M_deallocate(void**, unsigned int)
  0.00      0.00     0.00        2     0.00     0.00  void* (**std::__uninitialized_copy<true>::uninitialized_copy<void* (**)(void*), void* (**)(void*)>(void* (**)(void*), void* (**)(void*), void* (**)(void*)))(void*)
  0.00      0.00     0.00        2     0.00     0.00  void** std::__uninitialized_copy<true>::uninitialized_copy<void**, void**>(void**, void**, void**)
  0.00      0.00     0.00        2     0.00     0.00  std::map<void*, _data_access_log, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::map()
  0.00      0.00     0.00        2     0.00     0.00  std::map<void*, _data_access_log, std::less<void*>, std::allocator<std::pair<void* const, _data_access_log> > >::~map()
  0.00      0.00     0.00        2     0.00     0.00  std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::map()
  0.00      0.00     0.00        2     0.00     0.00  std::map<unsigned long, int, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, int> > >::~map()
